,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
77,Maruti,Wagon R 1.0LXI,308599,2011,Hyderabad,Petrol,63165,Manual,1,6865
78,Maruti,Alto K10VXI,262999,2012,Hyderabad,Petrol,58012,Manual,2,5850
79,Maruti,Alto 800LXI,281999,2013,Hyderabad,Petrol,40932,Manual,1,6273
80,Honda,Jazz1.2 SV PETROL,483599,2015,Hyderabad,Petrol,56710,Manual,2,10757
81,Maruti,Wagon R 1.0LXI CNG,297199,2011,Hyderabad,Petrol + CNG,69000,Manual,2,6611
82,Maruti,DzireVDI,659699,2017,Hyderabad,Diesel,33397,Manual,1,14675
83,Maruti,Wagon R 1.0VXI,378499,2016,Hyderabad,Petrol,39789,Manual,1,8420
84,Hyundai,i10MAGNA 1.2 KAPPA2,349799,2013,Hyderabad,Petrol,57200,Manual,1,7781
85,Maruti,Wagon R 1.0VXI,299699,2012,Hyderabad,Petrol,46828,Manual,2,6667
86,Maruti,Alto 800LXI,290099,2014,Hyderabad,Petrol,32811,Manual,1,6453
87,Maruti,Alto 800LXI,331299,2018,Hyderabad,Petrol,7885,Manual,1,7370
88,Maruti,Eeco5 STR WITH AC PLUSHTR,449299,2019,Hyderabad,Petrol,10025,Manual,1,9994
89,Maruti,Wagon R 1.0VXI,449699,2018,Hyderabad,Petrol,30221,Manual,1,10003
90,Maruti,Alto K10VXI,260499,2012,Hyderabad,Petrol,56712,Manual,1,5795
91,Maruti,Alto 800VXI,288899,2015,Hyderabad,Petrol,47247,Manual,1,6426
92,Maruti,Eeco5 STR WITH AC PLUSHTR,479999,2019,Hyderabad,Petrol,23410,Manual,1,10677
93,Maruti,Eeco5 STR WITH AC PLUSHTR,413699,2019,Hyderabad,Petrol,17802,Manual,1,9203
94,Maruti,Swift DzireVXI 1.2 BS IV,483899,2014,Hyderabad,Petrol,35103,Manual,1,10764
95,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,525999,2017,Hyderabad,Petrol,24025,Manual,1,11701
96,Maruti,Wagon R 1.0VXI,300099,2011,Hyderabad,Petrol,65981,Manual,2,6676
97,Hyundai,i10SPORTZ 1.2 AT KAPPA2,334499,2011,Hyderabad,Petrol,73802,Automatic,2,7441
98,Maruti,Alto K10VXI,234999,2012,Hyderabad,Petrol,62592,Manual,2,5227
99,Hyundai,i10MAGNA 1.2 KAPPA2,296999,2011,Hyderabad,Petrol,72242,Manual,3,6607
100,Maruti,Wagon R StingrayVXI,371899,2014,Hyderabad,Petrol,50426,Manual,2,8273
101,Maruti,Eeco5 STR WITH AC PLUSHTR,406199,2018,Hyderabad,Petrol,25514,Manual,1,9036
102,Hyundai,Elite i20SPORTZ 1.2,653099,2017,Hyderabad,Petrol,19301,Manual,1,14528
103,Hyundai,i10SPORTZ 1.2 KAPPA2,365099,2012,Hyderabad,Petrol,65288,Manual,1,8121
104,Maruti,Alto K10VXI,211199,2011,Hyderabad,Petrol,73025,Manual,2,4698
105,Honda,Amaze1.2 VXMT I VTEC,516399,2017,Hyderabad,Petrol,17922,Manual,2,11487
106,Maruti,BalenoALPHA 1.2 K12,680899,2017,Hyderabad,Petrol,26065,Manual,2,15146
107,Hyundai,i10MAGNA 1.2 KAPPA2,280799,2011,Hyderabad,Petrol,73867,Manual,1,6246
108,Maruti,AltoLXI CNG,197799,2011,Hyderabad,Petrol + CNG,70720,Manual,1,4400
109,Hyundai,i10SPORTZ 1.2 KAPPA2,358199,2012,Hyderabad,Petrol,58357,Manual,2,7968
110,Maruti,SwiftVXI 1.3,308199,2008,Hyderabad,Petrol,70663,Manual,2,6856
111,Tata,TiagoXT 1.2 REVOTRON,439299,2018,Hyderabad,Petrol,23745,Manual,1,9772
112,Maruti,Wagon R 1.0VXI,291299,2010,Hyderabad,Petrol,65373,Manual,1,6480
113,Hyundai,i10MAGNA,264399,2009,Hyderabad,Petrol,37980,Manual,1,5881
114,Maruti,RitzVXI BS IV,321599,2011,Hyderabad,Petrol,65841,Manual,1,7154
115,Maruti,AltoLXI,176999,2009,Hyderabad,Petrol,54950,Manual,1,3937
116,Hyundai,i10MAGNA 1.2,293299,2010,Hyderabad,Petrol,78302,Manual,2,6524
117,Hyundai,EonERA PLUS,322399,2013,Hyderabad,Petrol,31166,Manual,1,7172
118,Maruti,Alto 800LXI,317799,2013,Hyderabad,Petrol,30581,Manual,1,7069
119,Maruti,Eeco5 STR WITH AC PLUSHTR,437399,2019,Hyderabad,Petrol,18951,Manual,1,9730
120,Maruti,AltoLXI,242199,2012,Hyderabad,Petrol,64304,Manual,1,5388
121,Hyundai,i10MAGNA 1.2 KAPPA2,320699,2011,Hyderabad,Petrol,70969,Manual,1,7134
122,Maruti,AltoLXI,194599,2010,Hyderabad,Petrol,59344,Manual,2,4329
123,Maruti,,297899,2016,Hyderabad,Petrol,60866,,1,6627
124,Honda,Jazz1.2 V MT,571299,2017,Hyderabad,Petrol,34743,Manual,1,12708
125,Hyundai,i10SPORTZ 1.2 AT KAPPA2,328399,2011,Hyderabad,Petrol,109888,Automatic,2,7305
126,Maruti,Wagon R 1.0VXI,427199,2016,Hyderabad,Petrol,35463,Manual,1,9503
127,Honda,Amaze1.2 SMT I VTEC,466399,2015,Hyderabad,Petrol,37907,Manual,1,10375
128,Hyundai,i10MAGNA 1.2 KAPPA2,318699,2013,Hyderabad,Petrol,87911,Manual,2,7089
129,Maruti,Eeco5 STR WITH AC PLUSHTR,451499,2019,Hyderabad,Petrol,21402,Manual,1,10043
130,Maruti,CelerioVXI,377899,2014,Hyderabad,Petrol,51226,Manual,2,8406
131,Maruti,Wagon RLXI,238699,2009,Hyderabad,Petrol,68635,Manual,2,5310
132,Hyundai,Elite i20SPORTZ 1.2,627599,2017,Hyderabad,Petrol,38526,Manual,2,13961
133,Hyundai,i20MAGNA O 1.2,344099,2010,Hyderabad,Petrol,68124,Manual,2,7654
134,Maruti,AltoLXI,226499,2010,Hyderabad,Petrol,45557,Manual,1,5038
135,Maruti,Swift DzireZXI 1.2 BS IV,664799,2016,Hyderabad,Petrol,33459,Manual,1,14788
136,Maruti,,337799,2016,Hyderabad,Petrol,47897,,2,7514
137,Maruti,Swift DzireVDI OPT,699999,2017,Hyderabad,Diesel,19208,Manual,1,15571
138,Maruti,BalenoZETA DDIS 190,611899,2015,Hyderabad,Diesel,65879,Manual,1,13611
139,Maruti,BalenoALPHA DDIS 190,658199,2016,Hyderabad,Diesel,51170,Manual,1,14641
140,Maruti,Vitara BrezzaVDI AMT,901099,2018,Hyderabad,Diesel,8592,Manual,1,20044
141,Maruti,AltoLXI,180499,2009,Hyderabad,Petrol,74115,Manual,2,4015
142,Maruti,Alto K10VXI,367399,2017,Hyderabad,Petrol,68637,Manual,2,8173
143,Maruti,BalenoALPHA 1.2 K12,705099,2018,Hyderabad,Petrol,17499,Manual,1,15685
144,Hyundai,i10MAGNA 1.2,232799,2009,Hyderabad,Petrol,66427,Manual,2,5178
145,Maruti,Alto 800LXI,331199,2018,Hyderabad,Petrol,51080,Manual,1,7367
146,Hyundai,i10ERA 1.1 IRDE,252099,2009,Hyderabad,Petrol,67325,Manual,2,5608
147,Hyundai,i20SPORTZ 1.2 O,397499,2011,Hyderabad,Petrol,83890,Manual,1,8842
148,Maruti,AltoLXI,181199,2009,Hyderabad,Petrol,60584,Manual,2,4031
149,Hyundai,Santro XingGLS,201399,2007,Hyderabad,Petrol,38392,Manual,1,4480
150,Maruti,Alto K10VXI,316599,2017,Hyderabad,Petrol,84937,Manual,1,7043
151,Honda,Brio1.2 S MT I VTEC,341699,2013,Hyderabad,Petrol,62124,Manual,1,7601
152,Maruti,BalenoALPHA 1.2 K12,706499,2018,Hyderabad,Petrol,16212,Manual,1,15716
153,Maruti,Alto 800VXI,320499,2015,Hyderabad,Petrol,51504,Manual,1,7129
154,Maruti,Alto 800LXI,313699,2012,Hyderabad,Petrol,44791,Manual,2,6978
155,Hyundai,i20SPORTZ 1.2 VTVT,523799,2014,Hyderabad,Petrol,46849,Manual,1,11652
156,Hyundai,Santro XingGLS,295499,2013,Hyderabad,Petrol,68484,Manual,1,6573
157,Maruti,Wagon R 1.0VXI,405399,2015,Hyderabad,Petrol,59222,Manual,1,9018
158,Maruti,Wagon R 1.0VXI,437599,2017,Hyderabad,Petrol,42383,Manual,2,9734
159,Maruti,Alto 800LXI,348399,2019,Hyderabad,Petrol,30782,Manual,1,7750
160,Hyundai,Elite i20SPORTZ 1.2,551699,2018,Hyderabad,Petrol,67132,Manual,1,12272
161,Hyundai,i10ERA,238299,2007,Hyderabad,Petrol,86145,Manual,2,5301
162,Honda,WR-V1.5 i-DTEC VX MT,924799,2019,Hyderabad,Diesel,52284,Manual,1,20572
163,Renault,KwidRXL,341899,2016,Hyderabad,Petrol,52399,Manual,1,7605
164,Maruti,Swift DzireVXI 1.2 BS IV,531899,2015,Hyderabad,Petrol,60966,Manual,2,11832
165,Maruti,BalenoALPHA 1.2 K12,642699,2017,Hyderabad,Petrol,51082,Manual,1,14296
166,Volkswagen,,593799,2017,Hyderabad,Petrol,51013,,1,13209
167,Tata,TiagoXZ 1.2 REVOTRON,438999,2017,Hyderabad,Petrol,90206,Manual,1,9765
168,Maruti,Wagon R 1.0VXI ABS AIR BAG,256499,2011,Hyderabad,Petrol,104293,Manual,2,5706
169,Maruti,AltoLXI,169899,2009,Hyderabad,Petrol,89568,Manual,1,3779
170,Maruti,S CrossZETA 1.3,516099,2015,Hyderabad,Diesel,74484,Manual,2,11480
171,Maruti,SwiftLDI,271399,2009,Hyderabad,Diesel,90273,Manual,1,6037
172,Volkswagen,PoloTrendline 1.0 L Petrol,567299,2019,Hyderabad,Petrol,33610,Manual,2,12619
173,Maruti,AltoLXI,281099,2012,Hyderabad,Petrol,45552,Manual,2,6253
174,Maruti,Alto K10LXI,214899,2011,Hyderabad,Petrol,92261,Manual,2,4780
175,Hyundai,Grand i10SPORTZ (O) 1.2 AT VTVT,606699,2017,Hyderabad,Petrol,39524,Manual,1,13496
176,Maruti,Alto 800LXI,297499,2018,Hyderabad,Petrol,42143,Manual,1,6618
177,Hyundai,i10ERA,224099,2008,Hyderabad,Petrol,63040,Manual,2,4985
178,Maruti,AltoLXI CNG,202599,2012,Hyderabad,Petrol + CNG,80388,Manual,2,4507
179,Tata,,597899,2019,Hyderabad,Petrol,24296,,1,13300
180,Ford,Figo1.2 ZXI DURATEC,268899,2010,Hyderabad,Petrol,59354,Manual,2,5982
181,Maruti,BalenoZETA 1.2 K12,619192,2018,Hyderabad,Petrol,40509,Manual,1,13774
182,Hyundai,i10MAGNA 1.2,241299,2008,Hyderabad,Petrol,94989,Manual,1,5368
183,Maruti,Swift DzireVXI 1.2 BS IV,535999,2015,Hyderabad,Petrol,78713,Manual,1,11923
184,Hyundai,Santro XingGL PLUS,252399,2011,Hyderabad,Petrol,88944,Manual,1,5614
185,Maruti,SwiftVDI,660199,2019,Hyderabad,Diesel,43074,Manual,2,14686
186,Maruti,Swift DzireVXI 1.2 BS IV,534299,2015,Hyderabad,Petrol,57835,Manual,1,11885
187,Maruti,BalenoZETA 1.2 K12,619099,2016,Hyderabad,Petrol,66569,Manual,2,13772
188,Maruti,Alto K10LXI,214199,2012,Hyderabad,Petrol,81759,Manual,2,4765
189,Maruti,BalenoALPHA 1.2 K12,711499,2017,Hyderabad,Petrol,58754,Manual,1,15827
190,Maruti,Alto 800LXI,299699,2019,Hyderabad,Petrol,34886,Manual,1,6667
191,Hyundai,Santro XingGLS,172299,2009,Hyderabad,Petrol,105529,Manual,1,3833
192,Maruti,RitzVDI,309999,2012,Hyderabad,Diesel,80522,Manual,1,6896
193,Maruti,DzireVDI,776999,2019,Hyderabad,Diesel,21168,Manual,1,17284
194,Hyundai,Santro XingXO ERLX EURO III,164199,2007,Hyderabad,Petrol,72130,Manual,1,3653
195,Hyundai,i10SPORTZ 1.2 KAPPA2,303299,2011,Hyderabad,Petrol,92151,Manual,1,6747
196,Maruti,AltoLXI,191699,2010,Hyderabad,Petrol,103310,Manual,1,4264
197,Maruti,Wagon R 1.0LXI CNG,315299,2012,Hyderabad,Petrol + CNG,79870,Manual,1,7014
198,Maruti,Swift DzireVDI OPT,680599,2017,Hyderabad,Diesel,59374,Manual,1,15140
199,Maruti,Zen EstiloLXI,225499,2009,Hyderabad,Petrol,95532,Manual,2,5016
200,Ford,Figo1.2 TITANIUM DURATEC,242799,2010,Hyderabad,Petrol,92734,Manual,1,5401
201,Maruti,Alto K10VXI,272099,2012,Hyderabad,Petrol,94205,Manual,2,6053
202,Maruti,Swift DzireVDI OPT,645799,2017,Hyderabad,Diesel,57889,Manual,1,14365
203,Maruti,Alto 800LXI,331799,2019,Hyderabad,Petrol,29700,Manual,2,7381
204,Toyota,Innova Crysta2.4 VX 8 STR,1879199,2018,Hyderabad,Diesel,51848,Manual,1,41802
205,Hyundai,i10MAGNA 1.2,262099,2009,Hyderabad,Petrol,87163,Manual,2,5830
206,Maruti,SwiftZDI,460799,2012,Hyderabad,Diesel,77838,Manual,2,10250
207,Maruti,SwiftVXI,436699,2012,Hyderabad,Petrol,79896,Manual,2,9714
208,Hyundai,i10MAGNA 1.2 KAPPA2,283399,2011,Hyderabad,Petrol,93562,Manual,2,6304
209,Maruti,Wagon R DuoLXI LPG,196599,2008,Hyderabad,Petrol + LPG,99395,Manual,2,4373
210,Hyundai,Santro XingGL,215199,2010,Hyderabad,Petrol,87080,Manual,2,4787
211,Maruti,,973399,2019,Hyderabad,Petrol,10348,,1,21653
212,Maruti,Alto K10LXI,190399,2010,Hyderabad,Petrol,101672,Manual,1,4235
213,Maruti,Swift DzireVXI 1.2 BS IV,486099,2013,Hyderabad,Petrol,76078,Manual,1,10813
214,Volkswagen,PoloTrendline 1.0 L Petrol,591999,2019,Hyderabad,Petrol,42284,Manual,1,13169
215,Hyundai,i10MAGNA 1.2 KAPPA2,376999,2011,Hyderabad,Petrol,75528,Manual,1,8386
216,Maruti,Swift DzireVDI OPT,631999,2016,Hyderabad,Diesel,53258,Manual,1,14058
217,Maruti,Wagon RLXI,280899,2009,Hyderabad,Petrol,74291,Manual,1,6248
218,Volkswagen,VentoHIGHLINE DIESEL,497699,2013,Hyderabad,Diesel,80714,Manual,2,11071
219,Honda,CityVX CVT PETROL,881599,2017,Hyderabad,Petrol,89362,Automatic,1,19611
220,Hyundai,i10SPORTZ 1.2,265699,2008,Hyderabad,Petrol,89270,Manual,1,5910
221,Hyundai,i10SPORTZ 1.1 IRDE2,369399,2014,Hyderabad,Petrol,81336,Manual,1,8217
222,Hyundai,i10SPORTZ 1.2,276999,2010,Hyderabad,Petrol,95704,Manual,3,6162
223,Maruti,Wagon R 1.0VXI,367499,2015,Hyderabad,Petrol,76719,Manual,1,8175
224,Maruti,RitzLDI,296199,2012,Hyderabad,Diesel,102870,Manual,2,6589
225,Maruti,Alto K10VXI,259599,2010,Hyderabad,Petrol,86328,Manual,2,5775
226,Mahindra,TharCRDE 4X4 BS IV,810299,2017,Hyderabad,Diesel,37582,Manual,1,18025
227,Maruti,SwiftVXI 1.3,296299,2008,Hyderabad,Petrol,95854,Manual,2,6591
228,Hyundai,i10MAGNA 1.2,262199,2009,Hyderabad,Petrol,94523,Manual,2,5832
229,Honda,CityZX CVT ANNIVERSARY EDITION,962899,2018,Hyderabad,Petrol,55357,Automatic,1,21419
230,Honda,Amaze1.5 SMT I DTEC,413399,2013,Hyderabad,Diesel,85851,Manual,3,9196
231,Maruti,CelerioVXI,364299,2015,Hyderabad,Petrol,102472,Manual,1,8104
232,Volkswagen,PoloHIGHLINE1.2L DIESEL,470899,2013,Hyderabad,Diesel,77361,Manual,1,10475
233,Mahindra,XUV500W8 FWD,457599,2012,Hyderabad,Diesel,91966,Manual,1,10179
234,Maruti,Swift DzireVXI 1.2 BS IV,522799,2015,Hyderabad,Petrol,107589,Manual,1,11629
235,Maruti,SwiftLDI,365699,2009,Hyderabad,Diesel,84156,Manual,1,8135
236,Maruti,Wagon R 1.0LXI CNG,311499,2012,Hyderabad,Petrol + CNG,86601,Manual,1,6929
237,Maruti,BalenoALPHA DDIS 190,723699,2018,Hyderabad,Diesel,74535,Manual,1,16098
238,Maruti,Wagon R 1.0VXI,325199,2013,Hyderabad,Petrol,77678,Manual,1,7234
239,Maruti,BalenoZETA 1.2 K12,595699,2017,Hyderabad,Petrol,62516,Manual,1,13251
240,Hyundai,i10SPORTZ 1.2 KAPPA2,315099,2011,Hyderabad,Petrol,112315,Manual,2,7009
241,Maruti,Alto 800LXI,240599,2013,Hyderabad,Petrol,80448,Manual,1,5352
242,Maruti,SwiftVDI ABS,499699,2016,Hyderabad,Diesel,82732,Manual,2,11116
243,Maruti,Swift DzireVDI BS IV,516299,2014,Hyderabad,Diesel,81540,Manual,1,11485
244,Maruti,AltoLXI,144899,2007,Hyderabad,Petrol,132515,Manual,1,3223
245,Maruti,Swift DzireZXI 1.2 BS IV,504499,2015,Hyderabad,Petrol,106675,Manual,1,11222
246,Maruti,SwiftVDI,330199,2011,Hyderabad,Diesel,110597,Manual,1,7345
247,Hyundai,Elite i20SPORTZ 1.2,602599,2017,Hyderabad,Petrol,87864,Manual,2,13404
248,Honda,CityV AT,448599,2010,Hyderabad,Petrol,93900,Automatic,1,9979
249,Toyota,Innova Crysta2.4 GX 8 STR,1548699,2019,Hyderabad,Diesel,187062,Manual,1,34450
250,Toyota,Innova Crysta2.8 ZX AT 7 STR,1799599,2017,Hyderabad,Diesel,71780,Automatic,2,40031
251,Maruti,Swift DzireVDI BS IV,477399,2013,Hyderabad,Diesel,85864,Manual,2,10619
252,Maruti,SwiftVDI,402299,2012,Hyderabad,Diesel,109540,Manual,2,8949
253,Maruti,Wagon R 1.0VXI,362199,2014,Hyderabad,Petrol,90978,Manual,2,8057
254,Hyundai,i10SPORTZ 1.2 AT KAPPA2,373699,2011,Hyderabad,Petrol,116395,Automatic,1,8313
255,Maruti,Alto 800LXI CNG,249599,2012,Hyderabad,Petrol + CNG,103748,Manual,1,5552
256,Maruti,AltoLXI,168299,2009,Hyderabad,Petrol + LPG,155996,Manual,1,3744
257,Maruti,Wagon R 1.0VXI,325499,2012,Hyderabad,Petrol,105694,Manual,1,7241
258,Maruti,Swift DzireVXI 1.2 BS IV,402499,2012,Hyderabad,Petrol,112871,Manual,1,8953
259,Maruti,Swift DzireZXI 1.2 BS IV,518799,2015,Hyderabad,Petrol,90617,Manual,2,11540
260,Maruti,CiazALPHA 1.3 DDIS SHVS,711499,2017,Hyderabad,Diesel,110150,Manual,1,15827
261,Hyundai,Creta1.6 SX PLUS DIESEL,888699,2015,Hyderabad,Diesel,55867,Manual,1,19769
262,Maruti,SwiftZDI,460199,2012,Hyderabad,Diesel,101039,Manual,1,10237
263,Maruti,S CrossZETA 1.3,926399,2018,Hyderabad,Diesel,43847,Manual,1,20607
264,Volkswagen,PoloTRENDLINE 1.2L PETROL,462799,2015,Hyderabad,Petrol,65120,Manual,1,10295
265,Maruti,Swift DzireVXI 1.2 BS IV,504399,2015,Hyderabad,Petrol,101946,Manual,2,11220
266,Maruti,AltoLXI,195599,2011,Hyderabad,Petrol,118602,Manual,1,4351
267,Hyundai,XcentSX 1.1 CRDI,462499,2015,Hyderabad,Diesel,109973,Manual,1,10288
268,Hyundai,Elite i20SPORTZ 1.2,596999,2017,Hyderabad,Petrol,97090,Manual,1,13280
269,Maruti,RitzVDI,313699,2011,Hyderabad,Diesel,133129,Manual,1,6978
270,Hyundai,i10SPORTZ 1.2 KAPPA2,326599,2010,Hyderabad,Petrol,131057,Manual,1,7265
271,Maruti,CelerioVXI AMT,351199,2014,Hyderabad,Petrol,141639,Automatic,3,7812
272,Maruti,SwiftVDI,393699,2013,Hyderabad,Diesel,111864,Manual,2,8758
273,Maruti,Alto K10VXI,306599,2012,Hyderabad,Petrol,80217,Manual,1,6820
